,movie_id,user_review,critic_review,writer,language,country,budget,gross_1,opening_week,oscar_win,oscar_nom,other_win,other_nom,meta_score
0,tt7286456,"10,188 user",682 critic,"['Todd Phillips', 'Scott Silver']",English,"['USA', 'Canada']",$55000000,$335451311,$96202337,['2'],,92,199,59
1,tt6751668,"2,507 user",515 critic,"['Bong Joon Ho', 'Bong Joon Ho']",Korean,['South Korea'],$11400000,$53369749,$393216,['4'],,262,227,96
2,tt8579674,"2,674 user",461 critic,"['Sam Mendes', 'Krysty Wilson-Cairns']",English,"['USA', 'UK', 'India', 'Spain', 'Canada']",$95000000,$159227644,$576216,['3'],,110,161,78
3,tt4154796,"8,764 user",550 critic,"['Christopher Markus', 'Stephen McFeely']",English,['USA'],$356000000,$858373000,$357115007,,['1'],65,103,78
4,tt1454029,551 user,393 critic,"['Tate Taylor', 'Kathryn Stockett']",English,['USA'],$25000000,$169708112,$26044590,['1'],,79,120,62
5,tt0120737,"5,343 user",336 critic,"['J.R.R. Tolkien', 'Fran Walsh']",English,"['New Zealand', 'USA']",$93000000,$315544750,$47211490,['4'],,114,124,92
6,tt0111161,"7,890 user",161 critic,"['Stephen King', 'Frank Darabont']",English,['USA'],$25000000,$28699976,$727327,,['7'],21,35,80
7,tt0088763,"1,147 user",240 critic,"['Robert Zemeckis', 'Bob Gale']",English,['USA'],$19000000,$211159762,$11152500,['1'],,19,25,87
8,tt1375666,"3,769 user",454 critic,['Christopher Nolan'],English,"['USA', 'UK']",$160000000,$292576195,$62785337,['4'],,152,217,74
9,tt0068646,"3,824 user",249 critic,"['Mario Puzo', 'Francis Ford Coppola']",English,['USA'],$6000000,$134966411,$302393,['3'],,26,30,100
10,tt0816692,"3,940 user",617 critic,"['Jonathan Nolan', 'Christopher Nolan']",English,"['USA', 'UK', 'Canada']",$165000000,$188020017,$47510360,['1'],,43,147,74
11,tt0993846,"1,410 user",641 critic,"['Terence Winter', 'Jordan Belfort']",English,['USA'],$100000000,$116900694,$18361578,,['5'],38,172,75
12,tt0468569,"6,782 user",422 critic,"['Jonathan Nolan', 'Christopher Nolan']",English,"['USA', 'UK']",$185000000,$535234033,$158411483,['2'],,153,159,84
13,tt0102926,"1,269 user",219 critic,"['Thomas Harris', 'Ted Tally']",English,['USA'],$19000000,$130742922,$13766814,['5'],,63,51,85
14,tt0110912,"2,979 user",285 critic,"['Quentin Tarantino', 'Roger Avary']",English,['USA'],$8000000,$107928762,$9311882,['1'],,69,74,94
15,tt1853728,"1,509 user",836 critic,['Quentin Tarantino'],English,['USA'],$100000000,$162805434,$30122888,['2'],,57,155,81
16,tt0133093,"4,249 user",341 critic,"['Lilly Wachowski', 'Lana Wachowski']",English,['USA'],$63000000,$171479930,$27788331,['4'],,37,50,73
17,tt1392190,"1,978 user",824 critic,"['George Miller', 'Brendan McCarthy']",English,"['Australia', 'USA', 'South Africa']",$150000000,$154058340,$45428128,['6'],,236,228,90
18,tt0361748,"1,838 user",525 critic,['Quentin Tarantino'],English,"['Germany', 'USA']",$70000000,$120540719,$38054676,['1'],,132,171,69
19,tt1950186,"1,224 user",331 critic,"['Jez Butterworth', 'John-Henry Butterworth']",English,['USA'],$97600000,$117624357,$31474958,['2'],,21,73,81
20,tt0114369,"1,438 user",226 critic,['Andrew Kevin Walker'],English,['USA'],$33000000,$100125643,$13949807,,['1'],29,40,65
21,tt0434409,"2,200 user",189 critic,"['Lilly Wachowski', 'Lana Wachowski']",English,"['USA', 'UK', 'Germany']",$54000000,$70511035,$25642340,,,7,27,62
22,tt5895028,82 user,95 critic,"['Spencer Averick', 'Ava DuVernay']",English,['USA'],,,,,['1'],31,45,83
23,tt0097576,559 user,168 critic,"['Jeffrey Boam', 'George Lucas']",English,['USA'],$48000000,$197171806,$29355021,['1'],,7,22,65
24,tt4154756,"4,232 user",607 critic,"['Christopher Markus', 'Stephen McFeely']",English,['USA'],$321000000,$678815482,$257698183,,['1'],46,73,68
25,tt1856101,"2,325 user",636 critic,"['Hampton Fancher', 'Michael Green']",English,"['USA', 'UK', 'Hungary', 'Canada', 'Spain']",$150000000,$92054159,$32753122,['2'],,97,159,81
26,tt0477348,"1,804 user",537 critic,"['Joel Coen', 'Ethan Coen']",English,"['USA', 'Mexico']",$25000000,$74283625,$1202000,['4'],,160,138,91
27,tt1130884,"1,251 user",520 critic,"['Laeta Kalogridis', 'Dennis Lehane']",English,['USA'],$80000000,$128012934,$41062440,,,11,65,63
28,tt0107290,"1,119 user",356 critic,"['Michael Crichton', 'Michael Crichton']",English,['USA'],$63000000,$402828120,$47026828,['3'],,39,27,68
29,tt0407887,"2,303 user",288 critic,"['William Monahan', 'Alan Mak']",English,['USA'],$90000000,$132384315,$26887467,['4'],,94,139,85
30,tt1345836,"2,969 user",843 critic,"['Jonathan Nolan', 'Christopher Nolan']",English,"['UK', 'USA']",$250000000,$448139099,$160887295,,,38,101,78
31,tt0109830,"2,315 user",167 critic,"['Winston Groom', 'Eric Roth']",English,['USA'],$55000000,$330455270,$24450602,['6'],,44,74,82
32,tt2267998,"1,439 user",620 critic,"['Gillian Flynn', 'Gillian Flynn']",English,['USA'],$61000000,$167767189,$37513109,,['1'],64,183,79
33,tt0137523,"3,688 user",371 critic,"['Chuck Palahniuk', 'Jim Uhls']",English,"['USA', 'Germany']",$63000000,$37030102,$11035485,,['1'],10,37,66
34,tt0078748,"1,416 user",460 critic,"[""Dan O'Bannon"", ""Dan O'Bannon""]",English,"['UK', 'USA']",$11000000,$81765459,$3527881,['1'],,16,21,89
