,0
0,67
1,
2,84
3,76
4,
5,77
6,93
7,
8,69
9,87
10,71
11,75
12,100
13,81
14,74
15,81
16,83
17,92
18,65
19,66
20,80
21,81
22,93
23,82
24,90
25,87
26,78
27,79
28,79
29,74
30,82
31,63
32,
33,53
34,75
35,84
36,74
37,94
38,69
39,66
40,84
41,68
42,
43,80
44,69
45,92
46,69
47,78
48,78
49,74
50,33
51,25
52,47
53,45
54,
55,31
56,46
57,37
58,35
59,
60,
61,53
62,
63,20
64,
65,
66,35
67,18
68,34
69,34
70,34
71,28
72,56
73,27
74,
75,18
76,29
77,25
78,
79,23
80,22
81,37
82,37
83,34
84,27
85,27
86,16
87,45
88,27
89,38
90,43
91,23
92,25
93,33
94,
95,14
96,28
97,68
98,25
99,38
100,67
101,
102,76
103,
104,71
105,75
106,81
107,83
108,93
109,90
110,87
111,79
112,82
113,74
114,92
115,69
116,78
117,74
118,
119,
120,34
121,22
122,89
123,73
124,89
125,86
126,88
127,76
128,85
129,85
130,90
131,64
132,88
133,86
134,68
135,70
136,61
137,80
138,90
139,65
140,76
141,67
142,81
143,91
144,83
145,65
146,67
147,
148,81
149,77
150,83
151,68
152,88
153,80
154,55
155,92
156,86
157,93
158,77
159,90
160,95
161,69
162,96
163,76
164,71
165,64
166,61
167,
168,94
169,83
170,73
171,62
172,45
173,30
174,26
175,
176,33
177,
178,38
179,
180,64
181,
182,25
183,33
184,21
185,15
186,
187,58
188,38
189,47
190,
191,27
192,42
193,15
194,27
195,
196,33
197,44
198,
199,38
200,
201,27
202,11
203,30
204,36
205,48
206,28
207,
208,55
209,19
210,16
211,34
212,30
213,
214,47
215,
216,21
217,27
218,
219,22
220,9
221,
222,80
223,73
224,70
225,93
226,78
227,85
228,94
229,
230,78
231,74
232,76
233,89
234,94
235,63
236,62
237,90
238,98
239,59
240,79
241,
242,79
243,74
244,57
245,72
246,58
247,62
248,90
249,86
250,76
251,80
252,84
253,73
254,75
255,69
256,83
257,66
258,
259,86
260,82
261,82
262,
263,86
264,
265,
266,
267,
268,84
269,90
270,
271,88
272,34
273,
274,57
275,
276,
277,
278,16
279,
280,27
281,
282,38
283,5
284,
285,27
286,16
287,18
288,43
289,25
290,35
291,
292,18
293,38
294,17
295,56
296,17
297,
298,57
299,
300,
301,
302,17
303,24
304,
305,37
306,
307,27
308,12
309,23
310,29
311,53
312,22
313,11
314,34
315,
316,22
317,41
318,
319,22
320,47
321,13
322,85
323,100
324,69
325,81
326,90
327,79
328,96
329,75
330,57
331,
332,74
333,
334,65
335,76
336,85
337,70
338,82
339,86
340,89
341,73
342,
343,90
344,82
345,95
346,83
347,67
348,79
349,80
350,96
351,88
352,72
353,93
354,74
355,72
356,58
357,
358,72
359,78
360,64
361,77
362,77
363,88
364,64
365,88
366,80
367,98
368,85
369,
370,76
371,
372,26
373,40
374,16
375,
376,23
377,
378,
379,19
380,47
381,
382,
383,
384,
385,30
386,51
387,
388,25
389,28
390,46
391,
392,24
393,33
394,37
395,36
396,47
397,26
398,32
399,
400,37
401,
402,27
403,
404,18
405,
406,
407,17
408,
409,28
410,18
411,
412,33
413,
414,
415,47
416,
417,34
418,36
419,
420,
421,17
422,90
423,94
424,
425,
426,80
427,100
428,90
429,80
430,77
431,92
432,
433,
434,
435,
436,
437,
438,86
439,65
440,85
441,92
442,59
443,77
444,
445,
446,84
447,85
448,86
449,
450,84
451,
452,
453,
454,
455,
456,
457,
458,
459,85
460,
461,80
462,
463,
464,
465,
466,98
467,59
468,26
469,
470,79
471,
472,34
473,41
474,20
475,29
476,23
477,27
478,
479,
480,34
481,
482,
483,
484,30
485,
486,45
487,21
488,33
489,35
490,39
491,
492,42
493,
494,
495,
496,
497,19
498,30
499,7
500,44
501,
502,
503,33
504,47
505,
506,28
507,
508,9
509,18
510,
511,26
512,33
513,36
514,
515,1
516,25
517,18
518,
519,
520,
521,20
522,
523,95
524,
525,
526,88
527,
528,
529,69
530,80
531,84
532,60
533,
534,
535,
536,72
537,
538,
539,90
540,
541,71
542,
543,
544,
545,75
546,
547,
548,76
549,88
550,63
551,90
552,82
553,90
554,
555,
556,91
557,88
558,82
559,90
560,
561,82
562,89
563,
564,
565,86
566,
567,
568,
569,
570,74
571,
572,53
573,
574,36
575,
576,41
577,52
578,
579,
580,
581,46
582,19
583,
584,19
585,16
586,
587,
588,23
589,17
590,39
591,12
592,
593,
594,27
595,34
596,
597,37
598,36
599,
600,22
601,
602,29
603,11
604,
605,
606,
607,21
608,
609,15
610,
611,38
612,
613,42
614,19
615,40
616,
617,
618,
619,35
620,
621,35
622,
623,
624,96
625,
626,83
627,
628,61
629,
630,
631,
632,
633,85
634,83
635,
636,
637,
638,92
639,75
640,
641,
642,93
643,
644,
645,
646,
647,
648,
649,
650,93
651,
652,96
653,89
654,77
655,
656,84
657,
658,
659,
660,
661,
662,
663,
664,
665,
666,94
667,88
668,50
669,
670,
671,
672,35
673,
674,
675,
676,26
677,
678,17
679,28
680,22
681,
682,
683,16
684,27
685,
686,40
687,19
688,23
689,
690,
691,
692,
693,
694,
695,42
696,21
697,
698,33
699,41
700,30
701,
702,29
703,
704,31
705,42
706,36
707,39
708,
709,
710,44
711,35
712,
713,43
714,
715,
716,26
717,
718,
719,
720,58
721,
722,99
723,
724,92
725,
726,
727,
728,
729,
730,89
731,
732,
733,
734,
735,
736,
737,79
738,
739,
740,77
741,
742,79
743,
744,85
745,86
746,
747,89
748,65
749,71
750,74
751,
752,
753,
754,
755,
756,72
757,
758,54
759,88
760,
761,71
762,
763,
764,
765,
766,80
767,92
768,
769,
770,82
771,
772,43
773,27
774,
775,
776,
777,
778,
779,
780,43
781,
782,16
783,31
784,
785,
786,18
787,47
788,37
789,24
790,
791,9
792,
793,
794,
795,40
796,
797,24
798,14
799,
800,
801,
802,29
803,42
804,45
805,
806,26
807,55
808,40
809,13
810,
811,33
812,27
813,25
814,18
815,
816,19
817,42
818,
819,14
820,32
821,
822,
823,90
824,35
825,
826,
827,78
828,
829,
830,85
831,58
832,
833,92
834,
835,
836,73
837,
838,
839,
840,
841,
842,87
843,82
844,
845,100
846,
847,33
848,
849,97
850,85
851,89
852,
853,
854,88
855,95
856,
857,
858,79
859,
860,
861,
862,54
863,89
864,83
865,
866,100
867,83
868,79
869,
870,82
871,
872,24
873,
874,
875,27
876,45
877,6
878,27
879,19
880,
881,
882,
883,
884,
885,37
886,
887,33
888,32
889,
890,
891,
892,18
893,37
894,
895,
896,
897,33
898,
899,
900,35
901,
902,
903,
904,26
905,38
906,
907,
908,
909,
910,
911,35
912,7
913,
914,36
915,28
916,5
917,
918,12
919,
920,38
921,33
922,
923,
924,
925,
926,
927,
928,
929,
930,
931,
932,79
933,
934,
935,
936,
937,
938,
939,82
940,
941,
942,91
943,
944,77
945,
946,
947,
948,
949,
950,
951,
952,
953,
954,
955,
956,
957,76
958,
959,
960,71
961,
962,
963,
964,
965,
966,50
967,100
968,
969,71
970,68
971,
972,41
973,24
974,
975,
976,40
977,
978,31
979,
980,
981,
982,18
983,
984,
985,19
986,
987,
988,
989,47
990,
991,25
992,
993,
994,60
995,
996,
997,
998,24
999,17
1000,
1001,
1002,48
1003,
1004,
1005,
1006,
1007,
1008,
1009,
1010,
1011,
1012,
1013,25
1014,45
1015,42
1016,9
1017,42
1018,
1019,
1020,
1021,
1022,
1023,
1024,100
1025,
1026,
1027,91
1028,
1029,
1030,
1031,71
1032,84
1033,
1034,81
1035,
1036,72
1037,
1038,
1039,84
1040,
1041,91
1042,
1043,100
1044,73
1045,
1046,
1047,
1048,
1049,
1050,
1051,
1052,
1053,
1054,
1055,82
1056,
1057,
1058,82
1059,80
1060,
1061,
1062,
1063,
1064,
1065,
1066,
1067,
1068,
1069,89
1070,98
1071,
1072,
1073,36
1074,9
1075,52
1076,21
1077,
1078,57
1079,19
1080,58
1081,15
1082,
1083,15
1084,54
1085,38
1086,
1087,
1088,
1089,45
1090,
1091,
1092,
1093,
1094,53
1095,
1096,28
1097,36
1098,
1099,32
1100,
1101,14
1102,52
1103,
1104,
1105,34
1106,
1107,19
1108,39
1109,
1110,
1111,
1112,37
1113,18
1114,
1115,
1116,
1117,
1118,32
1119,18
1120,
1121,
1122,
1123,74
1124,93
1125,81
1126,
1127,
1128,
1129,
1130,
1131,
1132,92
1133,
1134,
1135,73
1136,
1137,
1138,
1139,
1140,
1141,
1142,79
1143,
1144,
1145,
1146,
1147,
1148,
1149,
1150,90
1151,
1152,
1153,
1154,
1155,
1156,
1157,
1158,
1159,82
1160,
1161,
1162,
1163,
1164,
1165,
1166,
1167,
1168,
1169,84
1170,
1171,
1172,
1173,44
1174,
1175,42
1176,59
1177,49
1178,38
1179,
1180,21
1181,23
1182,
1183,
1184,52
1185,
1186,
1187,
1188,
1189,33
1190,8
1191,
1192,49
1193,
1194,18
1195,
1196,
1197,
1198,37
1199,
1200,
1201,
1202,32
1203,
1204,
1205,
1206,
1207,
1208,
1209,21
1210,13
1211,42
1212,
1213,64
1214,28
1215,34
1216,
1217,22
1218,
1219,1
1220,
1221,
1222,
1223,
1224,
1225,
1226,
1227,
1228,72
1229,
1230,99
1231,92
1232,
1233,97
1234,
1235,84
1236,92
1237,
1238,
1239,
1240,83
1241,
1242,
1243,
1244,
1245,88
1246,
1247,99
1248,
1249,
1250,
1251,87
1252,95
1253,
1254,
1255,
1256,
1257,85
1258,
1259,
1260,
1261,
1262,
1263,
1264,78
1265,
1266,
1267,
1268,
1269,89
1270,
1271,90
1272,
1273,
1274,24
1275,32
1276,36
1277,39
1278,
1279,
1280,
1281,
1282,41
1283,
1284,
1285,31
1286,38
1287,
1288,
1289,38
1290,
1291,
1292,
1293,
1294,32
1295,28
1296,
1297,32
1298,31
1299,
1300,30
1301,39
1302,
1303,14
1304,29
1305,50
1306,56
1307,22
1308,
1309,
1310,31
1311,
1312,
1313,
1314,23
1315,43
1316,48
1317,
1318,25
1319,
1320,
1321,37
1322,94
1323,
1324,
1325,
1326,73
1327,93
1328,
1329,
1330,
1331,
1332,72
1333,
1334,
1335,
1336,
1337,
1338,
1339,
1340,
1341,68
1342,
1343,
1344,
1345,
1346,68
1347,
1348,
1349,
1350,
1351,
1352,
1353,
1354,
1355,
1356,
1357,
1358,
1359,
1360,
1361,
1362,
1363,87
1364,
1365,
1366,80
1367,
1368,
1369,
1370,85
1371,
1372,
1373,
1374,
1375,
1376,
1377,
1378,
1379,27
1380,
1381,
1382,
1383,
1384,12
1385,
1386,50
1387,
1388,22
1389,
1390,
1391,34
1392,
1393,
1394,16
1395,
1396,
1397,38
1398,
1399,
1400,
1401,
1402,45
1403,9
1404,36
1405,
1406,
1407,
1408,
1409,32
1410,35
1411,38
1412,
1413,
1414,
1415,30
1416,32
1417,
1418,
1419,
1420,
1421,
1422,
1423,87
1424,
1425,
1426,
1427,
1428,
1429,
1430,
1431,
1432,64
1433,
1434,
1435,83
1436,
1437,
1438,78
1439,
1440,
1441,93
1442,
1443,
1444,70
1445,
1446,66
1447,
1448,
1449,
1450,
1451,
1452,
1453,
1454,
1455,
1456,
1457,
1458,
1459,
1460,82
1461,
1462,87
1463,
1464,
1465,
1466,
1467,78
1468,
1469,
1470,
1471,
1472,25
1473,38
1474,
1475,36
1476,45
1477,24
1478,41
1479,17
1480,
1481,40
1482,
1483,58
1484,13
1485,29
1486,
1487,
1488,34
1489,42
1490,
1491,15
1492,33
1493,
1494,
1495,
1496,44
1497,
1498,31
1499,37
1500,
1501,35
1502,43
1503,
1504,
1505,
1506,33
1507,
1508,
1509,
1510,
1511,
1512,1
1513,34
1514,
1515,22
1516,
1517,30
1518,
1519,
1520,23
1521,
1522,
1523,
1524,
1525,85
1526,
1527,
1528,
1529,
1530,
1531,
1532,
1533,
1534,
1535,
1536,84
1537,86
1538,
1539,
1540,
1541,
1542,
1543,
1544,
1545,
1546,92
1547,
1548,
1549,
1550,
1551,
1552,83
1553,
1554,
1555,
1556,66
1557,
1558,
1559,
1560,
1561,
1562,
1563,84
1564,
1565,
1566,68
1567,
1568,
1569,
1570,
1571,
1572,29
1573,
1574,55
1575,
1576,26
1577,
1578,43
1579,
1580,
1581,
1582,47
1583,23
1584,
1585,46
1586,24
1587,
1588,25
1589,
1590,
1591,
1592,
1593,50
1594,37
1595,15
1596,
1597,27
1598,17
1599,
1600,
1601,33
1602,13
1603,
1604,
1605,41
1606,
1607,45
