,rt_score,rt_avg_rating,rt_audience_score,rt_user_rating,rt_avg_aud_rating,rt_fresh,rt_rotten
0,62%,1/10,89%,"17,860",4.4/5,213,133
1,96%,9/10,76%,"3,435",3.9/5,315,14
2,90%,1/10,80%,"15,993",4.1/5,403,45
3,81%,4/10,95%,"3,723",4.4/5,215,52
4,0,0,0,0,0,0,0
5,81%,7/10,94%,"2,267",4.6/5,40,9
6,85%,6/10,91%,"51,037",4.5/5,349,63
7,98%,2/10,0,"47,367",0,50,1
8,70%,9/10,95%,322,4.7/5,7,3
9,94%,6/10,94%,"1,830,714",4.4/5,312,20
10,91%,2/10,98%,"884,696",4.4/5,61,6
11,71%,7/10,85%,"173,373",4.1/5,243,97
12,91%,4/10,86%,"21,574",4.2/5,333,33
13,86%,1/10,91%,"569,017",4.2/5,298,47
14,94%,1/10,96%,"1,125,719",4.2/5,78,5
15,0,0,0,0,0,0,0
16,88%,8/10,87%,"127,446",4.1/5,295,42
17,82%,4/10,94%,"355,343",4/5,79,17
18,98%,3/10,98%,"732,022",4.4/5,86,2
19,98%,7/10,92%,987,4.5/5,106,2
20,72%,2/10,95%,"1,243,857",4.1/5,66,26
21,95%,2/10,96%,"825,430",4.1/5,71,4
22,91%,2/10,95%,"1,355,431",4.1/5,208,20
23,87%,2/10,81%,"58,211",4.1/5,344,51
24,84%,7/10,88%,"18,357",4.2/5,144,27
25,99%,8/10,90%,"1,149",4.3/5,177,2
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,96%,3/10,89%,"390,605",4.3/5,307,13
29,87%,8/10,90%,"1,210,158",4.3/5,307,47
30,98%,3/10,95%,"1,304",4.7/5,112,2
31,88%,6/10,85%,"33,323,891",3.6/5,126,18
32,75%,7/10,93%,"45,065",4.3/5,91,31
33,0,0,0,0,0,0,0
34,97%,9/10,97%,"410,783",4.3/5,90,3
35,91%,2/10,94%,"736,787",4.1/5,249,26
36,88%,8/10,87%,"774,411",4/5,279,37
37,91%,8/10,92%,"253,206",4.4/5,279,27
38,0,0,0,0,0,0,0
39,91%,3/10,91%,"1,069,586",3.6/5,112,11
40,93%,9/10,90%,"90,900",4.3/5,350,26
41,93%,7/10,86%,"34,679,279",3.7/5,252,18
42,96%,7/10,95%,"845,930",4.1/5,85,4
43,0,0,0,0,0,0,0
44,95%,6/10,91%,"635,858",4.1/5,217,12
45,97%,6/10,85%,"126,497",4.2/5,382,13
46,84%,7/10,90%,"186,128",4.3/5,267,52
47,91%,8/10,91%,"130,662",4.3/5,318,31
48,96%,9/10,97%,"428,343",4.3/5,87,4
49,,,87%,113,4.1/5,0,0
50,30%,2/10,Average Rating:,591,N/A,6,14
51,0,0,0,0,0,0,0
52,25%,2/10,41%,"83,492",2.9/5,67,199
53,60%,2/10,82%,"6,797",3.6/5,3,2
54,20%,2/10,17%,"1,241",1.8/5,3,12
55,0,0,0,0,0,0,0
56,6%,4/10,26%,"6,229",2.3/5,2,33
57,12%,1/10,37%,"5,434",2.6/5,21,151
